gene_id,length_bp
YAR002C-A_BY4742,660
YAR002W_BY4742,1620
YAR003W_BY4742,1281
YAR007C_BY4742,1866
YAR008W_BY4742,828
YAR009C_BY4742,3591
YAR010C_BY4742,1323
YAR014C_BY4742,2130
YAR015W_BY4742,921
YAR018C_BY4742,1308
YAR019C_BY4742,2925
YAR019W-A_BY4742,333
YAR020C_BY4742,168
YAR023C_BY4742,540
YAR027W_BY4742,708
YAR028W_BY4742,705
YAR029W_BY4742,225
YAR030C_BY4742,342
YAR031W_BY4742,897
YAR033W_BY4742,705
YAR035C-A_BY4742,81
YAR035W_BY4742,2064
YAR042W_BY4742,3567
YAR047C_BY4742,321
YAR050W_BY4742,4614
YAR053W_BY4742,297
YAR060C_BY4742,336
YAR064W_BY4742,300
YAR066W_BY4742,612
YAR068W_BY4742,486
YAR069C_BY4742,294
YAR070C_BY4742,300
YAR071W_BY4742,1404
YAR073W_BY4742,1212
YAR075W_BY4742,474
YBL001C_BY4742,315
YBL002W_BY4742,396
YBL003C_BY4742,399
YBL004W_BY4742,7482
YBL005W-A_BY4742,1323
YBL005W-B_BY4742,5269
YBL005W-B_mRNA,5269
YBL005W_BY4742,2931
YBL006C_BY4742,543
YBL006W-A_BY4742,150
YBL007C_BY4742,3735
YBL008W-A_BY4742,240
YBL008W_BY4742,2523
YBL009W_BY4742,2031
YBL010C_BY4742,843
YBL011W_BY4742,2280
YBL012C_BY4742,402
YBL013W_BY4742,1206
YBL014C_BY4742,2685
YBL015W_BY4742,1581
YBL016W_BY4742,1062
YBL017C_BY4742,4740
YBL018C_BY4742,477
YBL018C_mRNA,477
YBL019W_BY4742,1563
YBL020W_BY4742,1725
YBL021C_BY4742,435
YBL022C_BY4742,3402
YBL023C_BY4742,2607
YBL024W_BY4742,2055
YBL025W_BY4742,438
YBL026W_BY4742,416
YBL026W_mRNA,416
YBL027W_BY4742,954
YBL027W_mRNA,954
YBL028C_BY4742,321
YBL029C-A_BY4742,285
YBL029W_BY4742,1131
YBL030C_BY4742,957
YBL031W_BY4742,1017
YBL032W_BY4742,1146
YBL033C_BY4742,1038
YBL034C_BY4742,4542
YBL035C_BY4742,2118
YBL036C_BY4742,774
YBL037W_BY4742,3078
YBL038W_BY4742,699
YBL039C-A_BY4742,84
YBL039C_BY4742,1740
YBL039W-B_BY4742,180
YBL040C_BY4742,757
YBL040C_mRNA,757
YBL041W_BY4742,726
YBL042C_BY4742,1920
YBL043W_BY4742,774
YBL044W_BY4742,369
YBL045C_BY4742,1374
YBL046W_BY4742,1326
YBL047C_BY4742,4146
YBL048W_BY4742,312
YBL049W_BY4742,417
YBL050W_BY4742,995
YBL050W_mRNA,995
YBL051C_BY4742,2007
YBL052C_BY4742,2496
YBL053W_BY4742,375
YBL054W_BY4742,1578
YBL055C_BY4742,1257
YBL056W_BY4742,1407
YBL057C_BY4742,627
YBL058W_BY4742,1272
YBL059C-A_BY4742,415
YBL059C-A_mRNA,415
YBL059W_BY4742,651
YBL059W_mRNA,651
YBL060W_BY4742,2064
YBL061C_BY4742,2091
YBL062W_BY4742,381
YBL063W_BY4742,3336
YBL064C_BY4742,786
YBL065W_BY4742,345
YBL066C_BY4742,3447
YBL067C_BY4742,2244
YBL068W-A_BY4742,237
YBL068W_BY4742,981
YBL069W_BY4742,1290
YBL070C_BY4742,321
YBL071C-B_BY4742,99
YBL071C_BY4742,309
YBL071W-A_BY4742,249
YBL072C_BY4742,911
YBL073W_BY4742,312
YBL074C_BY4742,1068
YBL075C_BY4742,1950
YBL076C_BY4742,3219
YBL077W_BY4742,432
YBL078C_BY4742,354
YBL079W_BY4742,4509
YBL080C_BY4742,1626
YBL081W_BY4742,1107
YBL082C_BY4742,1377
YBL083C_BY4742,426
YBL084C_BY4742,2277
YBL085W_BY4742,2943
YBL086C_BY4742,1401
YBL087C_BY4742,918
YBL087C_mRNA,918
YBL088C_BY4742,8364
YBL089W_BY4742,1380
YBL090W_BY4742,534
YBL091C-A_BY4742,616
YBL091C-A_mRNA,616
YBL091C_BY4742,1266
YBL092W_BY4742,726
YBL093C_BY4742,663
YBL094C_BY4742,333
YBL095W_BY4742,813
YBL096C_BY4742,309
YBL097W_BY4742,2265
YBL098W_BY4742,1383
YBL099W_BY4742,1638
YBL100C_BY4742,315
YBL100W-A_BY4742,1317
YBL100W-B_BY4742,5314
YBL100W-B_mRNA,5314
YBL100W-C_BY4742,120
YBL101C_BY4742,3354
YBL102W_BY4742,648
YBL103C_BY4742,1461
YBL104C_BY4742,3117
YBL105C_BY4742,3456
YBL106C_BY4742,3033
YBL107C_BY4742,591
YBL107W-A_BY4742,105
YBL108C-A_BY4742,129
YBL108W_BY4742,306
YBL109W_BY4742,336
YBL111C_BY4742,2103
YBL111C_mRNA,2103
YBL112C_BY4742,318
YBL113C_BY4742,2379
YBL113W-A_BY4742,483
YBR001C_BY4742,2343
YBR002C_BY4742,861
YBR003W_BY4742,1422
YBR004C_BY4742,1302
YBR005W_BY4742,642
YBR006W_BY4742,1494
YBR007C_BY4742,2211
YBR008C_BY4742,1647
YBR009C_BY4742,312
YBR010W_BY4742,411
YBR011C_BY4742,864
YBR012C_BY4742,420
YBR012W-A_BY4742,1323
YBR012W-B_BY4742,5272
YBR012W-B_mRNA,5272
YBR013C_BY4742,390
YBR014C_BY4742,612
YBR015C_BY4742,1794
YBR016W_BY4742,387
YBR017C_BY4742,2757
YBR018C_BY4742,1101
YBR019C_BY4742,2100
YBR020W_BY4742,1587
YBR021W_BY4742,1902
YBR022W_BY4742,534
YBR023C_BY4742,3498
YBR024W_BY4742,906
YBR025C_BY4742,1185
YBR026C_BY4742,1143
YBR027C_BY4742,333
YBR028C_BY4742,1578
YBR029C_BY4742,1374
YBR030W_BY4742,1659
YBR031W_BY4742,1089
YBR032W_BY4742,303
YBR033W_BY4742,2760
YBR034C_BY4742,1047
YBR035C_BY4742,687
YBR036C_BY4742,1233
YBR037C_BY4742,888
YBR038W_BY4742,2892
YBR039W_BY4742,936
YBR040W_BY4742,897
YBR041W_BY4742,2010
YBR042C_BY4742,1194
YBR043C_BY4742,2070
YBR044C_BY4742,1719
YBR045C_BY4742,1920
YBR046C_BY4742,1005
YBR047W_BY4742,528
YBR048W_BY4742,982
YBR048W_mRNA,982
YBR049C_BY4742,2433
YBR050C_BY4742,1017
YBR051W_BY4742,351
YBR052C_BY4742,633
YBR053C_BY4742,1077
YBR054W_BY4742,1035
YBR055C_BY4742,2700
YBR056C-B_BY4742,159
YBR056W-A_BY4742,201
YBR056W_BY4742,1506
YBR057C_BY4742,1101
YBR058C-A_BY4742,243
YBR058C_BY4742,2346
YBR059C_BY4742,3327
YBR060C_BY4742,1863
YBR061C_BY4742,933
YBR062C_BY4742,625
YBR062C_mRNA,625
YBR063C_BY4742,1215
YBR064W_BY4742,429
YBR065C_BY4742,1095
YBR066C_BY4742,663
YBR067C_BY4742,633
YBR068C_BY4742,1830
YBR069C_BY4742,1860
YBR070C_BY4742,714
YBR071W_BY4742,636
YBR072C-A_BY4742,162
YBR072W_BY4742,645
YBR073W_BY4742,2775
YBR074W_BY4742,2931
YBR076C-A_BY4742,267
YBR076W_BY4742,1065
YBR077C_BY4742,489
YBR078W_BY4742,1620
YBR078W_mRNA,1620
YBR079C_BY4742,2895
YBR080C_BY4742,2277
YBR081C_BY4742,3999
YBR082C_BY4742,542
YBR082C_mRNA,542
YBR083W_BY4742,1461
YBR084C-A_BY4742,1076
YBR084C-A_mRNA,1076
YBR084W_BY4742,2928
YBR085C-A_BY4742,258
YBR085W_BY4742,924
YBR086C_BY4742,2841
YBR087W_BY4742,1065
YBR088C_BY4742,777
YBR089C-A_BY4742,657
YBR089W_BY4742,600
YBR090C_BY4742,726
YBR090C_mRNA,726
YBR091C_BY4742,330
YBR092C_BY4742,1404
YBR093C_BY4742,1404
YBR094W_BY4742,2262
YBR095C_BY4742,1293
YBR096W_BY4742,693
YBR097W_BY4742,4365
YBR098W_BY4742,2076
YBR099C_BY4742,384
YBR101C_BY4742,873
YBR102C_BY4742,2262
YBR103C-A_BY4742,144
YBR103W_BY4742,1608
YBR104W_BY4742,990
YBR105C_BY4742,1089
YBR106W_BY4742,567
YBR107C_BY4742,738
YBR108W_BY4742,2844
YBR109C_BY4742,444
YBR109W-A_BY4742,225
YBR110W_BY4742,1350
YBR111C_BY4742,696
YBR111W-A_BY4742,441
YBR111W-A_mRNA,441
YBR112C_BY4742,2901
YBR113W_BY4742,483
YBR114W_BY4742,2373
YBR116C_BY4742,498
YBR117C_BY4742,2046
YBR118W_BY4742,1377
YBR119W_BY4742,986
YBR119W_mRNA,986
YBR120C_BY4742,489
YBR121C-A_BY4742,159
YBR121C_BY4742,2004
YBR122C_BY4742,534
YBR123C_BY4742,1950
YBR124W_BY4742,360
YBR125C_BY4742,1182
YBR126C_BY4742,1488
YBR126W-A_BY4742,207
YBR126W-B_BY4742,144
YBR127C_BY4742,1554
YBR128C_BY4742,1035
YBR129C_BY4742,987
YBR130C_BY4742,1278
YBR131C-A_BY4742,90
YBR131W_BY4742,2115
YBR132C_BY4742,1791
YBR133C_BY4742,2484
YBR134W_BY4742,402
YBR135W_BY4742,453
YBR136W_BY4742,7107
YBR137W_BY4742,540
YBR138C_BY4742,1575
YBR139W_BY4742,1527
YBR140C_BY4742,9279
YBR141C_BY4742,1014
YBR141W-A_BY4742,96
YBR142W_BY4742,2322
YBR143C_BY4742,1314
YBR144C_BY4742,315
YBR145W_BY4742,1056
YBR146W_BY4742,837
YBR147W_BY4742,891
YBR148W_BY4742,1830
YBR149W_BY4742,1035
YBR150C_BY4742,3285
YBR151W_BY4742,951
YBR152W_BY4742,876
YBR153W_BY4742,735
YBR154C_BY4742,648
YBR155W_BY4742,1158
YBR156C_BY4742,2097
YBR157C_BY4742,768
YBR158W_BY4742,1650
YBR159W_BY4742,1044
YBR160W_BY4742,897
YBR161W_BY4742,1131
YBR162C_BY4742,1368
YBR162W-A_BY4742,198
YBR163W_BY4742,1758
YBR164C_BY4742,552
YBR165W_BY4742,834
YBR166C_BY4742,1359
YBR167C_BY4742,423
YBR168W_BY4742,1242
YBR169C_BY4742,2082
YBR170C_BY4742,1743
YBR171W_BY4742,621
YBR172C_BY4742,2223
YBR173C_BY4742,447
YBR174C_BY4742,315
YBR175W_BY4742,948
YBR176W_BY4742,939
YBR177C_BY4742,1356
YBR178W_BY4742,375
YBR179C_BY4742,2568
YBR180W_BY4742,1719
YBR181C_BY4742,1063
YBR181C_mRNA,1063
YBR182C-A_BY4742,195
YBR182C_BY4742,1359
YBR183W_BY4742,951
YBR184W_BY4742,1572
YBR185C_BY4742,837
YBR186W_BY4742,1808
YBR186W_mRNA,1808
YBR187W_BY4742,843
YBR188C_BY4742,423
YBR189W_BY4742,1001
YBR189W_mRNA,1001
YBR190W_BY4742,312
YBR191W-A_BY4742,75
YBR191W_BY4742,871
YBR191W_mRNA,871
YBR192W_BY4742,1134
YBR193C_BY4742,672
YBR194W_BY4742,372
YBR195C_BY4742,1269
YBR196C-A_BY4742,150
YBR196C-B_BY4742,105
YBR196C_BY4742,1665
YBR197C_BY4742,654
YBR198C_BY4742,2397
YBR199W_BY4742,1395
YBR200W-A_BY4742,165
YBR200W_BY4742,1656
YBR201C-A_BY4742,204
YBR201W_BY4742,636
YBR202W_BY4742,2538
YBR203W_BY4742,2775
YBR204C_BY4742,1128
YBR205W_BY4742,1215
YBR206W_BY4742,324
YBR207W_BY4742,1398
YBR208C_BY4742,5508
YBR209W_BY4742,318
YBR210W_BY4742,429
YBR211C_BY4742,975
YBR212W_BY4742,2019
YBR213W_BY4742,825
YBR214W_BY4742,1584
YBR215W_BY4742,1962
YBR215W_mRNA,1962
YBR216C_BY4742,2025
YBR217W_BY4742,561
YBR218C_BY4742,3543
YBR219C_BY4742,805
YBR219C_mRNA,805
YBR220C_BY4742,1683
YBR221C_BY4742,1101
YBR221W-A_BY4742,105
YBR222C_BY4742,1632
YBR223C_BY4742,1635
YBR223W-A_BY4742,120
YBR224W_BY4742,516
YBR225W_BY4742,2703
YBR226C_BY4742,411
YBR227C_BY4742,1563
YBR228W_BY4742,915
YBR229C_BY4742,2865
YBR230C_BY4742,502
YBR230C_mRNA,502
YBR230W-A_BY4742,201
YBR231C_BY4742,912
YBR232C_BY4742,360
YBR233W-A_BY4742,285
YBR233W_BY4742,1242
YBR234C_BY4742,1155
YBR235W_BY4742,3363
YBR236C_BY4742,1311
YBR237W_BY4742,2550
YBR238C_BY4742,2196
YBR239C_BY4742,1590
YBR240C_BY4742,1353
YBR241C_BY4742,1467
YBR242W_BY4742,717
YBR243C_BY4742,1347
YBR244W_BY4742,489
YBR245C_BY4742,3390
YBR246W_BY4742,1164
YBR247C_BY4742,1452
YBR248C_BY4742,1659
YBR249C_BY4742,1113
YBR250W_BY4742,1572
YBR251W_BY4742,924
YBR252W_BY4742,444
YBR253W_BY4742,366
YBR254C_BY4742,528
YBR255C-A_BY4742,457
YBR255C-A_mRNA,457
YBR255W_BY4742,2085
YBR256C_BY4742,717
YBR257W_BY4742,840
YBR258C_BY4742,429
YBR259W_BY4742,2067
YBR260C_BY4742,2001
YBR261C_BY4742,699
YBR262C_BY4742,321
YBR263W_BY4742,1473
YBR264C_BY4742,600
YBR265W_BY4742,963
YBR266C_BY4742,453
YBR267W_BY4742,1182
YBR268W_BY4742,318
YBR269C_BY4742,417
YBR270C_BY4742,1638
YBR271W_BY4742,1260
YBR272C_BY4742,1443
YBR273C_BY4742,1311
YBR274W_BY4742,1584
YBR275C_BY4742,5751
YBR276C_BY4742,2424
YBR277C_BY4742,402
YBR278W_BY4742,606
YBR279W_BY4742,1338
YBR280C_BY4742,1914
YBR281C_BY4742,2637
YBR282W_BY4742,441
YBR283C_BY4742,1473
YBR284W_BY4742,2394
YBR285W_BY4742,435
YBR286W_BY4742,1614
YBR287W_BY4742,1284
YBR288C_BY4742,1452
YBR289W_BY4742,2718
YBR290W_BY4742,966
YBR291C_BY4742,900
YBR292C_BY4742,372
YBR293W_BY4742,1425
YBR294W_BY4742,2580
YBR295W_BY4742,3651
YBR296C-A_BY4742,120
YBR296C_BY4742,1725
YBR297W_BY4742,1407
YBR298C-A_BY4742,222
YBR298C_BY4742,1845
YBR299W_BY4742,1755
YBR300C_BY4742,498
YBR301W_BY4742,363
YBR302C_BY4742,1140
YCL001W-A_BY4742,462
YCL001W-B_BY4742,255
YCL001W_BY4742,567
YCL002C_BY4742,868
YCL002C_mRNA,868
YCL004W_BY4742,1566
YCL005W-A_BY4742,395
YCL005W-A_mRNA,395
YCL005W_BY4742,771
YCL007C_BY4742,393
YCL008C_BY4742,1158
YCL009C_BY4742,930
YCL010C_BY4742,780
YCL011C_BY4742,1284
YCL012C_BY4742,472
YCL012C_mRNA,472
YCL014W_BY4742,4911
YCL016C_BY4742,1143
YCL017C_BY4742,1494
YCL021W-A_BY4742,378
YCL022C_BY4742,516
YCL023C_BY4742,348
YCL024W_BY4742,3114
YCL025C_BY4742,1902
YCL026C-A_BY4742,582
YCL026C-B_BY4742,582
YCL027W_BY4742,1539
YCL028W_BY4742,1218
YCL029C_BY4742,1323
YCL030C_BY4742,2400
YCL031C_BY4742,894
YCL032W_BY4742,1041
YCL033C_BY4742,507
YCL034W_BY4742,1065
YCL035C_BY4742,333
YCL036W_BY4742,1701
YCL037C_BY4742,1305
YCL038C_BY4742,1587
YCL039W_BY4742,2238
YCL040W_BY4742,1503
YCL041C_BY4742,495
YCL042W_BY4742,360
YCL043C_BY4742,1569
YCL044C_BY4742,1254
YCL045C_BY4742,2283
YCL046W_BY4742,324
YCL047C_BY4742,777
YCL048W-A_BY4742,240
YCL048W_BY4742,1392
YCL049C_BY4742,939
YCL050C_BY4742,966
YCL051W_BY4742,1752
YCL052C_BY4742,1251
YCL054W_BY4742,2526
YCL055W_BY4742,1008
YCL056C_BY4742,435
YCL057C-A_BY4742,294
YCL057W_BY4742,2139
YCL058C_BY4742,459
YCL058W-A_BY4742,342
YCL059C_BY4742,951
YCL061C_BY4742,3291
YCL063W_BY4742,1272
YCL064C_BY4742,1083
YCL065W_BY4742,369
YCL066W_BY4742,528
YCL067C_BY4742,633
YCL068C_BY4742,783
YCL069W_BY4742,1377
YCL073C_BY4742,1848
YCL076W_BY4742,744
YCR001W_BY4742,315
YCR002C_BY4742,969
YCR003W_BY4742,552
YCR004C_BY4742,744
YCR005C_BY4742,1383
YCR006C_BY4742,474
YCR007C_BY4742,720
YCR008W_BY4742,1812
YCR009C_BY4742,798
YCR010C_BY4742,852
YCR011C_BY4742,3150
YCR012W_BY4742,1251
YCR013C_BY4742,648
YCR014C_BY4742,1749
YCR015C_BY4742,954
YCR016W_BY4742,873
YCR017C_BY4742,2862
YCR018C-A_BY4742,255
YCR019W_BY4742,1092
YCR020C-A_BY4742,267
YCR020C_BY4742,648
YCR020W-B_BY4742,237
YCR021C_BY4742,999
YCR022C_BY4742,345
YCR023C_BY4742,1836
YCR024C-A_BY4742,123
YCR024C-B_BY4742,162
YCR024C_BY4742,1479
YCR025C_BY4742,411
YCR026C_BY4742,2229
YCR027C_BY4742,630
YCR028C-A_BY4742,491
YCR028C-A_mRNA,491
YCR028C_BY4742,1539
YCR030C_BY4742,2613
YCR031C_BY4742,721
YCR031C_mRNA,721
YCR032W_BY4742,6504
YCR033W_BY4742,3681
YCR034W_BY4742,1044
YCR035C_BY4742,1185
YCR036W_BY4742,1002
YCR037C_BY4742,2772
YCR038C_BY4742,1929
YCR038W-A_BY4742,126
YCR039C_BY4742,633
YCR040W_BY4742,528
YCR041W_BY4742,333
YCR042C_BY4742,4224
YCR043C_BY4742,384
YCR044C_BY4742,1074
YCR045C_BY4742,1476
YCR045W-A_BY4742,351
YCR046C_BY4742,510
YCR047C_BY4742,828
YCR047W-A_BY4742,207
YCR048W_BY4742,1833
YCR049C_BY4742,447
YCR050C_BY4742,309
YCR051W_BY4742,669
YCR052W_BY4742,1452
YCR053W_BY4742,1545
YCR054C_BY4742,1692
YCR057C_BY4742,2772
YCR059C_BY4742,777
YCR060W_BY4742,336
YCR061W_BY4742,1896
YCR063W_BY4742,474
YCR064C_BY4742,411
YCR065W_BY4742,1695
YCR066W_BY4742,1464
YCR067C_BY4742,3198
YCR068W_BY4742,1563
YCR069W_BY4742,957
YCR071C_BY4742,441
YCR072C_BY4742,1548
YCR073C_BY4742,3996
YCR073W-A_BY4742,948
YCR075C_BY4742,783
YCR075W-A_BY4742,228
YCR076C_BY4742,753
YCR077C_BY4742,2391
YCR079W_BY4742,1329
YCR081C-A_BY4742,237
YCR081W_BY4742,4284
YCR082W_BY4742,387
YCR083W_BY4742,384
YCR084C_BY4742,2142
YCR085W_BY4742,354
YCR086W_BY4742,573
YCR087C-A_BY4742,462
YCR087W_BY4742,516
YCR088W_BY4742,1779
YCR089W_BY4742,4830
YCR090C_BY4742,549
YCR091W_BY4742,2163
YCR092C_BY4742,3057
YCR093W_BY4742,6327
YCR094W_BY4742,1176
YCR095C_BY4742,1089
YCR095W-A_BY4742,159
YCR096C_BY4742,360
YCR097W-A_BY4742,267
YCR097W_BY4742,487
YCR097W_mRNA,487
YCR098C_BY4742,1557
YCR099C_BY4742,468
YCR100C_BY4742,951
YCR101C_BY4742,549
YCR102C_BY4742,1107
YCR102W-A_BY4742,198
YCR104W_BY4742,375
YCR105W_BY4742,1086
YCR106W_BY4742,2499
YCR107W_BY4742,1092
YCR108C_BY4742,192
YDL001W_BY4742,1293
YDL002C_BY4742,612
YDL003W_BY4742,1701
YDL004W_BY4742,483
YDL005C_BY4742,1296
YDL006W_BY4742,846
YDL007C-A_BY4742,258
YDL007W_BY4742,1314
YDL008W_BY4742,498
YDL009C_BY4742,324
YDL010W_BY4742,696
YDL011C_BY4742,324
YDL012C_BY4742,410
YDL012C_mRNA,410
YDL013W_BY4742,1860
YDL014W_BY4742,984
YDL015C_BY4742,933
YDL016C_BY4742,303
YDL017W_BY4742,1524
YDL018C_BY4742,678
YDL019C_BY4742,3852
YDL020C_BY4742,1596
YDL021W_BY4742,936
YDL022C-A_BY4742,249
YDL022W_BY4742,1176
YDL023C_BY4742,321
YDL024C_BY4742,1407
YDL025C_BY4742,1863
YDL025W-A_BY4742,105
YDL026W_BY4742,312
YDL027C_BY4742,1263
YDL028C_BY4742,2295
YDL029W_BY4742,1299
YDL029W_mRNA,1299
YDL030W_BY4742,1593
YDL031W_BY4742,2988
YDL032W_BY4742,312
YDL033C_BY4742,1254
YDL034W_BY4742,345
YDL035C_BY4742,2886
YDL036C_BY4742,1389
YDL037C_BY4742,987
YDL039C_BY4742,2097
YDL040C_BY4742,2565
YDL041W_BY4742,354
YDL042C_BY4742,1689
YDL043C_BY4742,801
YDL044C_BY4742,1323
YDL045C_BY4742,921
YDL045W-A_BY4742,288
YDL046W_BY4742,522
YDL047W_BY4742,936
YDL048C_BY4742,1473
YDL049C_BY4742,807
YDL050C_BY4742,372
YDL051W_BY4742,828
YDL052C_BY4742,912
YDL053C_BY4742,558
YDL054C_BY4742,1461
YDL055C_BY4742,1086
YDL056W_BY4742,2502
YDL057W_BY4742,987
YDL058W_BY4742,5373
YDL059C_BY4742,717
YDL060W_BY4742,2367
YDL061C_BY4742,580
YDL062W_BY4742,426
YDL063C_BY4742,1863
YDL064W_BY4742,584
YDL064W_mRNA,584
YDL065C_BY4742,1029
YDL066W_BY4742,1287
YDL067C_BY4742,180
YDL068W_BY4742,330
YDL069C_BY4742,690
YDL070W_BY4742,1917
YDL071C_BY4742,375
YDL072C_BY4742,612
YDL073W_BY4742,2955
YDL074C_BY4742,2103
YDL075W_BY4742,763
YDL075W_mRNA,763
YDL076C_BY4742,885
YDL077C_BY4742,3150
YDL078C_BY4742,1032
YDL079C_BY4742,1798
YDL079C_mRNA,1798
YDL080C_BY4742,1830
YDL081C_BY4742,321
YDL082W_BY4742,965
YDL082W_mRNA,965
YDL083C_BY4742,864
YDL083C_mRNA,864
YDL084W_BY4742,1341
YDL085C-A_BY4742,207
YDL085W_BY4742,1638
YDL086C-A_BY4742,435
YDL086W_BY4742,822
YDL087C_BY4742,786
YDL088C_BY4742,1587
YDL089W_BY4742,1455
YDL090C_BY4742,1296
YDL091C_BY4742,1368
YDL092W_BY4742,441
YDL093W_BY4742,2232
YDL094C_BY4742,510
YDL095W_BY4742,2454
YDL096C_BY4742,327
YDL097C_BY4742,1305
YDL098C_BY4742,585
YDL099W_BY4742,1026
YDL100C_BY4742,1065
YDL101C_BY4742,1542
YDL102W_BY4742,3294
YDL103C_BY4742,1434
YDL104C_BY4742,1224
YDL105W_BY4742,1209
YDL106C_BY4742,1680
YDL107W_BY4742,1056
YDL108W_BY4742,1002
YDL108W_mRNA,1002
YDL109C_BY4742,1944
YDL110C_BY4742,453
YDL111C_BY4742,798
YDL112W_BY4742,4311
YDL113C_BY4742,1923
YDL114W-A_BY4742,114
YDL114W_BY4742,927
